City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
dikson,73.5069,80.5464,15.4,91,100,10.67,RU,1619372380
maun,-19.9833,23.4167,69.8,49,0,3.44,BW,1619372712
ipoti,7.8738,5.0769,75.99,85,86,5.5,NG,1619372713
podporozhye,60.9112,34.1706,38.91,97,100,6.31,RU,1619372713
shahrud,36.4182,54.9763,71.42,43,65,4.38,IR,1619372713
san quintin,30.4833,-115.95,63.9,65,53,15.23,MX,1619372436
yabelo,4.8833,38.0833,60.19,86,91,5.59,ET,1619372714
dehloran,32.6941,47.2679,91.42,13,100,7.85,IR,1619372714
bredasdorp,-34.5322,20.0403,57.2,88,100,3.44,ZA,1619372539
moreira sales,-24.0622,-53.0069,69.01,80,100,9.44,BR,1619372714
kruisfontein,-34.0033,24.7314,71.78,43,100,3.49,ZA,1619372715
bay roberts,47.5999,-53.2648,53.01,37,20,24.16,CA,1619372576
cap malheureux,-19.9842,57.6142,78.01,81,100,5.99,MU,1619372715
port blair,11.6667,92.75,82.15,74,92,6.04,IN,1619372591
blyth,55.1271,-1.5086,48.99,61,20,6.91,GB,1619372716
klaksvik,62.2266,-6.589,46.4,93,100,11.5,FO,1619372716
inhambane,-23.865,35.3833,75.2,78,20,4.21,MZ,1619372716
romny,50.751,33.4747,42.01,82,88,7.87,UA,1619372717
kochi,9.9399,76.2602,80.6,83,40,3.44,IN,1619372717
yola,9.2,12.4833,93.88,31,84,3.49,NG,1619372718
arona,28.0996,-16.681,72.0,56,75,9.22,ES,1619372718
ketchikan,55.3422,-131.6461,54.72,41,0,4.79,US,1619372585
norman wells,65.282,-126.8329,32.0,59,75,26.46,CA,1619372718
egvekinot,66.3167,-179.1667,20.8,90,94,5.48,RU,1619372719
aripuana,-9.1667,-60.6333,90.43,53,16,2.08,BR,1619372719
riyadh,24.6877,46.7219,89.6,15,0,3.44,SA,1619372658
tonantins,-2.8731,-67.8022,82.44,87,98,1.72,BR,1619372720
bonavista,48.6499,-53.1147,53.6,40,24,12.66,CA,1619372720
talagang,32.9297,72.4158,77.61,18,0,4.12,PK,1619372720
skagen,57.7209,10.5839,46.0,57,4,21.0,DK,1619372721
miquelon,47.0975,-56.3814,46.4,66,0,12.66,PM,1619372721
penzance,50.1186,-5.5371,52.0,71,77,23.2,GB,1619372542
codrington,-38.2667,141.9667,53.11,86,56,5.3,AU,1619372722
kodiak,57.79,-152.4072,39.2,87,90,9.22,US,1619372722
sandomierz,50.6827,21.749,45.0,52,90,3.0,PL,1619372723
sonoita,31.85,-112.8333,82.0,15,1,3.0,MX,1619372723
maniitsoq,65.4167,-52.9,39.97,79,71,3.85,GL,1619372724
pujehun,7.3581,-11.7208,85.08,67,99,6.11,SL,1619372724
college,64.8569,-147.8028,46.99,60,1,0.54,US,1619372724
neustrelitz,53.3667,13.0833,39.38,57,78,9.04,DE,1619372725
kibondo,-3.5864,30.7203,63.36,91,100,0.85,TZ,1619372725
sept-iles,50.2001,-66.3821,46.99,49,20,16.11,CA,1619372667
belen,36.4891,36.2233,73.4,46,75,20.71,TR,1619372725
bratslav,48.8226,28.9407,48.2,61,75,4.47,UA,1619372726
ajdabiya,30.7554,20.2263,66.38,59,0,22.03,LY,1619372726
itarema,-2.9248,-39.9167,84.24,68,84,13.24,BR,1619372726
buzmeyin,38.0507,58.2056,78.8,25,14,9.22,TM,1619372727
shuyskoye,59.3736,41.0305,41.13,96,100,2.3,RU,1619372727
lloydminster,53.2835,-110.0016,41.0,28,75,8.05,CA,1619372728
brae,60.3964,-1.353,46.4,76,0,11.5,GB,1619372728
murwara,23.85,80.4,84.04,9,66,2.44,IN,1619372728
hofn,64.2539,-15.2082,44.33,88,100,8.97,IS,1619372729
barbacena,-21.2258,-43.7736,78.8,41,0,9.22,BR,1619372729
shahreza,32.0339,51.8794,66.96,34,100,8.63,IR,1619372729
tulle,45.3333,1.8333,64.99,15,100,1.95,FR,1619372730
acarau,-2.8856,-40.12,83.46,72,82,13.35,BR,1619372512
victoria,22.2855,114.1577,73.0,92,100,1.99,HK,1619372602
mocajuba,-2.5842,-49.5072,85.71,68,94,3.15,BR,1619372730
prainha,-1.8,-53.48,87.48,57,97,4.79,BR,1619372731
laguna,38.421,-121.4238,60.01,62,90,6.91,US,1619372731
bathsheba,13.2167,-59.5167,86.0,48,20,23.02,BB,1619372636
sao joao da barra,-21.6403,-41.0511,86.0,54,20,2.3,BR,1619372732
coihaique,-45.5752,-72.0662,57.2,51,40,9.22,CL,1619372479
cabedelo,-6.9811,-34.8339,86.0,66,20,12.66,BR,1619372732
bandarbeyla,9.4942,50.8122,83.7,72,53,10.89,SO,1619372733
ixtapa,20.7,-105.2,82.4,57,20,8.05,MX,1619372733
havre-saint-pierre,50.2334,-63.5986,48.2,46,1,13.8,CA,1619372733
camargo,27.6667,-105.1667,83.84,5,84,7.14,MX,1619372734
delano,35.7688,-119.247,62.01,58,1,5.75,US,1619372734
tomatlan,19.9333,-105.25,92.03,31,68,8.68,MX,1619372478
klaebu,63.2976,10.4826,39.99,65,75,13.8,NO,1619372734
fort nelson,58.8053,-122.7002,41.0,38,40,3.44,CA,1619372474
amboasary,-25.0333,46.3833,75.2,88,20,16.11,MG,1619372735
eyl,7.9803,49.8164,83.52,72,15,10.31,SO,1619372736
wahiawa,21.5028,-158.0236,75.99,82,40,10.67,US,1619372736
uni,57.7535,51.4923,36.82,77,97,14.58,RU,1619372736
pirai do sul,-24.5261,-49.9486,75.99,51,97,1.99,BR,1619372737
margate,51.3813,1.3862,46.0,67,10,4.0,GB,1619372737
duvan,55.695,57.9024,38.5,69,26,11.1,RU,1619372738
tekkali,18.6167,84.2333,79.25,86,71,6.73,IN,1619372738
maragogi,-9.0122,-35.2225,82.04,71,13,9.37,BR,1619372738
golpayegan,33.4537,50.2884,62.35,45,99,3.2,IR,1619372739
san cristobal,7.7669,-72.225,89.6,58,20,11.5,VE,1619372634
fondi,41.3541,13.4313,61.0,65,45,1.99,IT,1619372739
baker city,44.7749,-117.8344,41.0,100,90,1.99,US,1619372740
rabo de peixe,37.8,-25.5833,62.6,67,40,13.8,PT,1619372637
olinda,-8.0089,-34.8553,80.6,78,40,11.5,BR,1619372740
taltal,-25.4,-70.4833,65.48,75,21,5.1,CL,1619372740
sioux lookout,50.1001,-91.917,46.4,27,75,10.36,CA,1619372741
asfi,32.2994,-9.2372,64.44,77,2,21.59,MA,1619372741
canakkale,40.0833,26.8333,53.6,66,20,17.27,TR,1619372742
rondonopolis,-16.4708,-54.6356,84.74,42,97,2.24,BR,1619372742
noyabrsk,63.1994,75.4507,33.76,98,100,12.24,RU,1619372742
grootfontein,-19.5667,18.1167,63.25,31,1,2.28,NA,1619372743
mabaruma,8.2,-59.7833,80.11,84,84,6.62,GY,1619372743
lagoa,39.05,-27.9833,59.72,79,27,14.7,PT,1619372641
varnavino,57.4035,45.0916,33.53,96,100,16.31,RU,1619372744
mwinilunga,-11.7358,24.4293,64.0,84,44,2.66,ZM,1619372744
ahuimanu,21.4447,-157.8378,75.2,69,75,9.22,US,1619372744
totness,5.8833,-56.3167,81.25,79,61,12.41,SR,1619372744
saint george,37.1041,-113.5841,77.0,16,1,31.07,US,1619372684
ihosy,-22.4,46.1167,64.87,95,27,7.78,MG,1619372745
sistranda,63.7256,8.834,39.2,70,75,17.27,NO,1619372745
korem,12.5058,39.5228,60.42,62,80,2.37,ET,1619372746
umm lajj,25.0213,37.2685,82.83,50,0,0.4,SA,1619372746
puerto suarez,-18.95,-57.8,71.6,88,75,12.66,BO,1619372746
dingle,10.9995,122.6711,76.05,85,14,3.38,PH,1619372540
zyryanskoye,56.8306,86.6258,38.48,95,99,3.15,RU,1619372747
vyshhorod,50.5848,30.4898,46.0,100,100,3.06,UA,1619372747
mexico,15.0646,120.7198,75.2,83,40,2.3,PH,1619372747
lunenburg,44.3835,-64.3155,53.6,50,82,16.11,CA,1619372748
luderitz,-26.6481,15.1594,62.38,91,85,2.08,NA,1619372531
half moon bay,37.4636,-122.4286,59.0,76,90,13.8,US,1619372748
tanout,14.9709,8.8879,97.66,8,80,10.11,NE,1619372749
hualmay,-11.0964,-77.6139,72.36,72,46,8.66,PE,1619372749
sisimiut,66.9395,-53.6735,42.85,66,64,1.72,GL,1619372624
richards bay,-28.783,32.0377,67.12,86,0,2.98,ZA,1619372749
atlantic city,39.3643,-74.4229,57.2,72,90,11.5,US,1619372750
pafos,34.7667,32.4167,68.0,73,20,5.75,CY,1619372750
kabinda,-6.1333,24.4833,69.22,84,88,4.72,CD,1619372751
lai,9.3952,16.2989,94.6,30,33,6.33,TD,1619372751
doctor arroyo,23.6667,-100.1833,81.18,21,4,11.52,MX,1619372472
ilhabela,-23.7781,-45.3581,77.49,67,69,4.0,BR,1619372752
tubuala,9.5167,-79.0333,91.4,55,20,3.44,PA,1619372752
kondoa,-4.9,35.7833,65.41,89,69,3.38,TZ,1619372752
falmouth,50.1544,-5.0711,57.2,71,98,20.27,GB,1619372753
acapulco,16.8634,-99.8901,86.0,54,90,9.22,MX,1619372753
sao gabriel,-30.3364,-54.32,67.95,55,70,9.22,BR,1619372754
castro,-24.7911,-50.0119,69.53,61,100,8.48,BR,1619372754
mogadishu,2.0371,45.3438,83.66,74,72,14.47,SO,1619372754
novo aripuana,-5.1206,-60.3797,87.55,67,81,2.62,BR,1619372755
kuusamo,65.9667,29.1833,33.8,86,90,10.36,FI,1619372755
praia,14.9215,-23.5087,77.0,53,20,23.02,CV,1619372755
manavalakurichi,8.1333,77.3,86.0,74,40,5.57,IN,1619372756
oranjemund,-28.55,16.4333,62.55,88,100,2.71,NA,1619372756
daura,11.5538,11.4085,93.36,24,82,4.79,NG,1619372756
boysun,38.2061,67.1986,63.93,36,86,3.96,UZ,1619372757
los llanos de aridane,28.6585,-17.9182,69.8,60,75,11.45,ES,1619372757
itambacuri,-18.0311,-41.685,88.81,42,7,2.59,BR,1619372757
nuevo laredo,27.4763,-99.5164,86.0,39,1,12.66,MX,1619372758
marsa matruh,31.3525,27.2453,66.2,77,40,16.11,EG,1619372758
sidi ali,36.0998,0.4206,75.27,44,71,11.05,DZ,1619372759
abeche,13.8292,20.8324,86.95,34,32,7.96,TD,1619372759
vallenar,-28.5708,-70.7581,80.1,28,0,5.97,CL,1619372759
bodden town,19.2833,-81.25,86.0,66,40,11.5,KY,1619372545
tecpan,14.7623,-90.9947,81.0,50,40,11.5,GT,1619372760
nantucket,41.2835,-70.0995,48.2,93,90,16.11,US,1619372760
vila franca do campo,37.7167,-25.4333,62.6,67,40,13.8,PT,1619372761
pleshanovo,52.8333,53.4833,40.96,66,27,7.34,RU,1619372761
maxixe,-23.8597,35.3472,75.2,78,20,2.51,MZ,1619372761
forecariah,9.4306,-13.0881,89.6,45,0,9.22,GN,1619372762
usinsk,65.9939,57.5281,40.05,84,100,8.86,RU,1619372762
namibe,-15.1961,12.1522,78.64,71,5,16.49,AO,1619372557
dunaharaszti,47.3545,19.0982,55.99,35,0,17.27,HU,1619372763
matara,5.9485,80.5353,78.19,88,44,3.15,LK,1619372763
marfino,55.7028,37.3822,41.0,52,0,11.18,RU,1619372763
caravelas,-17.7125,-39.2481,83.66,62,15,10.2,BR,1619372764
guymon,36.6828,-101.4816,78.8,17,1,25.32,US,1619372520
caucaia,-3.7361,-38.6531,86.0,66,40,12.66,BR,1619372764
manica,49.0,-1.1667,48.2,76,0,16.11,FR,1619372764
bilma,18.6853,12.9164,96.8,8,16,8.23,NE,1619372765
oranjestad,12.524,-70.027,87.8,58,20,24.16,AW,1619372541
saryozek,44.3583,77.9753,52.18,42,100,7.4,KZ,1619372765
guerrero negro,27.9769,-114.0611,66.27,59,78,11.92,MX,1619372498
haines junction,60.7522,-137.5108,35.6,60,3,3.44,CA,1619372766
roald,62.5833,6.1333,41.0,56,75,6.91,NO,1619372766
siteki,-26.45,31.95,60.67,88,0,2.53,SZ,1619372766
menongue,-14.6585,17.691,69.22,45,96,5.48,AO,1619372767
tafalla,42.5269,-1.6745,64.99,39,20,5.75,ES,1619372767
harper,4.375,-7.7169,78.62,84,100,10.4,LR,1619372768
thinadhoo,0.5333,72.9333,82.76,64,64,3.31,MV,1619372768
tingi,-11.3,35.0333,62.91,95,54,3.51,TZ,1619372768
bukama,-9.2,25.85,69.84,93,98,2.13,CD,1619372769
berbera,10.4396,45.0143,86.14,61,56,3.31,SO,1619372769
antalaha,-14.9003,50.2788,73.27,89,100,6.29,MG,1619372770
urucara,-2.5364,-57.76,87.64,64,100,3.02,BR,1619372770
los andes,-32.8337,-70.5983,75.0,33,0,5.75,CL,1619372770
winchester,51.0651,-1.3187,57.2,44,0,14.97,GB,1619372506
puerto quijarro,-17.7833,-57.7667,70.14,96,100,4.29,BO,1619372771
libreville,0.3925,9.4537,84.2,79,20,9.22,GA,1619372721
kutum,14.2,24.6667,83.84,13,75,8.7,SD,1619372595
puerto escondido,15.85,-97.0667,86.0,74,20,8.05,MX,1619372771
saint-pierre,-21.3393,55.4781,78.8,73,0,23.02,RE,1619372400
hamilton,39.1834,-84.5333,62.01,67,75,5.75,US,1619372727
rocha,-34.4833,-54.3333,62.24,82,50,15.19,UY,1619372635
ayagoz,47.9714,80.4392,39.25,47,85,5.35,KZ,1619372772
sadova,43.9,23.95,60.8,47,0,6.91,RO,1619372772
powell river,49.8496,-124.5361,50.0,93,90,4.61,CA,1619372711
cartagena,10.3997,-75.5144,91.4,62,40,8.05,CO,1619372649
dryden,49.7833,-92.7503,44.6,24,75,8.05,CA,1619372712
catia la mar,10.6038,-67.0303,87.8,62,20,3.44,VE,1619372773
porangatu,-13.4408,-49.1486,87.17,53,43,2.42,BR,1619372773
kedrovyy,56.1667,91.8167,41.0,42,0,11.18,RU,1619372774
ancud,-41.8697,-73.8203,60.01,100,90,2.98,CL,1619372774
staraya toropa,56.2801,31.6702,32.77,87,58,6.69,RU,1619372775
lebork,54.5392,17.7501,37.99,75,20,8.05,PL,1619372775
uarini,-2.99,-65.1083,82.4,89,40,6.91,BR,1619372775
kindu,-2.95,25.95,71.01,91,100,2.8,CD,1619372776
holme,56.1138,10.1725,48.0,45,35,9.22,DK,1619372776
san lawrenz,36.0553,14.204,63.0,67,0,9.22,MT,1619372776
cosala,24.4125,-106.6908,82.99,57,84,5.01,MX,1619372777
odweyne,9.4092,45.064,73.04,69,94,4.05,SO,1619372777
valparaiso,-33.0393,-71.6273,59.0,94,20,5.75,CL,1619372777
homa bay,-0.5273,34.4571,69.8,88,75,3.44,KE,1619372778
aksu,41.1231,80.2644,60.53,26,25,8.05,CN,1619372778
gresham,45.4982,-122.4315,55.0,71,90,4.61,US,1619372778
santa cruz cabralia,-16.2781,-39.0247,84.2,65,40,14.97,BR,1619372779
marquette,46.5333,-87.6335,35.01,66,5,1.01,US,1619372779
inirida,3.8653,-67.9239,81.64,87,100,1.32,CO,1619372606
mankono,8.0586,-6.1897,87.12,53,89,5.82,CI,1619372779
mao,39.8885,4.2658,62.6,72,0,17.27,ES,1619372473
salt,32.0392,35.7272,78.8,41,3,8.05,JO,1619372780
oni,42.5794,43.4425,56.62,94,100,3.51,GE,1619372780
freeport,40.6576,-73.5832,55.4,67,90,14.97,US,1619372312
comodoro rivadavia,-45.8667,-67.5,64.4,45,0,14.97,AR,1619372781
champerico,14.3,-91.9167,87.8,70,20,6.91,GT,1619372781
dzaoudzi,-12.7887,45.2699,80.6,83,0,10.36,YT,1619372781
ceska lipa,50.6855,14.5376,42.01,82,80,5.44,CZ,1619372782
olafsvik,64.8945,-23.7142,44.26,85,81,9.08,IS,1619372638
egra,50.0796,12.3739,43.0,62,48,3.0,CZ,1619372782
kudahuvadhoo,2.6708,72.8944,83.39,67,17,6.49,MV,1619372783
edson,53.5835,-116.4356,37.4,32,1,3.44,CA,1619372783
melito di porto salvo,37.9222,15.7714,62.6,67,26,10.36,IT,1619372783
iacu,-12.7672,-40.2117,90.66,40,46,4.7,BR,1619372784
komsomolskiy,40.4272,71.7189,64.4,36,33,2.3,UZ,1619372784
kalmunai,7.4167,81.8167,79.75,73,29,6.67,LK,1619372784
